title,author,description,series_details,genres,avg_rating,num_ratings,num_reviews,pages_format,publication_info
How Far the Light Reaches: A Life in Ten Sea Creatures,['Sabrina Imbler'],"A queer, mixed race writer working in a largely white, male field, science and conservation journalist Sabrina Imbler has always been drawn to the mystery of life in the sea, and particularly to creatures living in hostile or remote environments. Each essay in their debut collection profiles one such creature: the mother octopus who starves herself while watching over her eggs, the Chinese sturgeon whose migration route has been decimated by pollution and dams, the bizarre Bobbitt worm (named after Lorena), and other uncanny creatures lurking in the deep ocean, far below where the light reaches. Imbler discovers that some of the most radical models of family, community, and care can be found in the sea, from gelatinous chains that are both individual organisms and colonies of clones to deep-sea crabs that have no need for the sun, nourished instead by the chemicals and heat throbbing from the core of the Earth. Exploring themes of adaptation, survival, sexuality, and care, and weaving the wonders of marine biology with stories of their own family, relationships, and coming of age, How Far the Light Reaches is a book that invites us to envision wilder, grander, and more abundant possibilities for the way we live.",,"['Nonfiction', 'Science', 'Memoir', 'Essays', 'LGBT', 'Queer', 'Nature']",4.14,7656,1388,"263 pages, Hardcover","First published December 6, 2022"
"Opinions: A Decade of Arguments, Criticism, and Minding Other People's Business",['Roxane Gay'],"From beloved and bestselling author Roxane Gay, “a strikingly fresh cultural critic” ( Washington Post ) comes an exhilarating collection of her essays on culture, politics, and everything in between. Since the publication of the groundbreaking Bad Feminist and Hunger , Roxane Gay has continued to tackle big issues embroiling society—state-sponsored violence and mass shootings, women’s rights post-Dobbs, online disinformation, and the limits of empathy—alongside more individually personalized can I tell my co-worker her perfume makes me sneeze? Is it acceptable to schedule a daily 8 am meeting? In her role as a New York Times opinion section contributor and the publication’s “Work Friend” columnist, she reaches millions of readers with her wise voice and sharp insights. Opinions is a collection of Roxane Gay’s best nonfiction pieces from the past ten years. Covering a wide range of topics—politics, feminism, the culture wars, civil rights, and much more—with an all-new introduction in which she reflects on the past decade in America, this sharp, thought-provoking anthology will delight Roxane Gay’s devotees and draw new readers to this inimitable talent.",,"['Nonfiction', 'Essays', 'Feminism', 'Politics', 'Audiobook', 'Short Stories', 'LGBT']",4.08,1772,299,"320 pages, Hardcover","First published October 10, 2023"
Eve: How the Female Body Drove 200 Million Years of Human Evolution,['Cat Bohannon'],"THE REAL ORIGIN OF OUR SPECIES: a myth-busting, eye-opening landmark account of how humans evolved, offering a paradigm shift in our thinking about what the female body is, how it came to be, and how this evolution still shapes all our lives todayHow did the female body drive 200 million years of human evolution? • Why do women live longer than men? • Why are women more likely to get Alzheimer’s? • Why do girls score better at every academic subject than boys until puberty, when suddenly their scores plummet? • Is sexism useful for evolution? • And why, seriously why, do women have to sweat through our sheets every night when we hit menopause? These questions are producing some truly exciting science – and in Eve, with boundless curiosity and sharp wit, Cat Bohannon covers the past 200 million years to explain the specific science behind the development of the female sex: “We need a kind of user's manual for the female mammal. A no-nonsense, hard-hitting, seriously researched (but readable) account of what we are. How female bodies evolved, how they work, what it really means to biologically be a woman. Something that would rewrite the story of womanhood. This book is that story. We have to put the female body in the picture. If we don't, it's not just feminism that's compromised. Modern medicine, neurobiology, paleoanthropology, even evolutionary biology all take a hit when we ignore the fact that half of us have breasts. So it's time we talk about breasts. Breasts, and blood, and fat, and vaginas, and wombs—all of it. How they came to be and how we live with them now, no matter how weird or hilarious the truth is.” Eve is not only a sweeping revision of human history, it’s an urgent and necessary corrective for a world that has focused primarily on the male body for far too long. Picking up where Sapiens left off, Eve will completely change what you think you know about evolution and why Homo sapiens has become such a successful and dominant species.",,"['Nonfiction', 'Science', 'History', 'Feminism', 'Biology', 'Womens', 'Evolution']",4.38,2340,449,"624 pages, Hardcover","First published October 3, 2023"
Cobalt Red: How the Blood of the Congo Powers Our Lives,['Siddharth Kara'],"The revelatory New York Times and Publishers Weekly bestseller, shortlisted for the Financial Times Best Business Book of the Year Award.An unflinching investigation reveals the human rights abuses behind the Congo’s cobalt mining operation―and the moral implications that affect us all.Cobalt Red is the searing, first-ever exposé of the immense toll taken on the people and environment of the Democratic Republic of the Congo by cobalt mining, as told through the testimonies of the Congolese people themselves. Activist and researcher Siddharth Kara has traveled deep into cobalt territory to document the testimonies of the people living, working, and dying for cobalt. To uncover the truth about brutal mining practices, Kara investigated militia-controlled mining areas, traced the supply chain of child-mined cobalt from toxic pit to consumer-facing tech giants, and gathered shocking testimonies of people who endure immense suffering and even die mining cobalt.Cobalt is an essential component to every lithium-ion rechargeable battery made today, the batteries that power our smartphones, tablets, laptops, and electric vehicles. Roughly 75 percent of the world’s supply of cobalt is mined in the Congo, often by peasants and children in sub-human conditions. Billions of people in the world cannot conduct their daily lives without participating in a human rights and environmental catastrophe in the Congo. In this stark and crucial book, Kara argues that we must all care about what is happening in the Congo―because we are all implicated.",,"['Nonfiction', 'History', 'Africa', 'Politics', 'Economics', 'Environment', 'Audiobook']",4.39,5413,991,"288 pages, Hardcover","First published January 31, 2023"
Hidden Potential: The Science of Achieving Greater Things,['Adam M. Grant'],"#1 New York Times Bestseller“This brilliant book will shatter your assumptions about what it takes to improve and succeed. I wish I could go back in time and gift it to my younger self. It would’ve helped me find a more joyful path to progress.” —Serena Williams, 23-time Grand Slam singles tennis championThe #1 New York Times bestselling author of Think Again illuminates how we can elevate ourselves and others to unexpected heights.We live in a world that’s obsessed with talent. We celebrate gifted students in school, natural athletes in sports, and child prodigies in music. But admiring people who start out with innate advantages leads us to overlook the distance we ourselves can travel. We underestimate the range of skills that we can learn and how good we can become. We can all improve at improving. And when opportunity doesn’t knock, there are ways to build a door.Hidden Potential offers a new framework for raising aspirations and exceeding expectations. Adam Grant weaves together groundbreaking evidence, surprising insights, and vivid storytelling that takes us from the classroom to the boardroom, the playground to the Olympics, and underground to outer space. He shows that progress depends less on how hard you work than how well you learn. Growth is not about the genius you possess—it’s about the character you develop. Grant explores how to build the character skills and motivational structures to realize our own potential, and how to design systems that create opportunities for those who have been underrated and overlooked.Many writers have chronicled the habits of superstars who accomplish great things. This book reveals how anyone can rise to achieve greater things. The true measure of your potential is not the height of the peak you’ve reached, but how far you’ve climbed to get there.",,"['Nonfiction', 'Self Help', 'Psychology', 'Business', 'Audiobook', 'Personal Development', 'Leadership']",4.05,14897,1172,"304 pages, Hardcover","First published October 24, 2023"
Ultra-Processed People: The Science Behind Food That Isn't Food,['Chris van Tulleken'],"A manifesto to change how you eat and how you think about the human body.It’s not you, it’s the food.We have entered a new age of eating. For the first time in human history, most of our calories come from an entirely novel set of substances called Ultra-Processed Food. There’s a long, formal scientific definition, but it can be boiled down to this: if it’s wrapped in plastic and has at least one ingredient that you wouldn’t find in your kitchen, it’s UPF.These products are specifically engineered to behave as addictive substances, driving excess consumption. They are now linked to the leading cause of early death globally and the number one cause of environmental destruction. Yet almost all our staple foods are ultra-processed. UPF is our food culture and for many people it is the only available and affordable food.In this book, Chris van Tulleken, father, scientist, doctor, and award-winning BBC broadcaster, marshals the latest evidence to show how governments, scientists, and doctors have allowed transnational food companies to create a pandemic of diet-related disease. The solutions don’t lie in willpower, personal responsibility, or exercise. You’ll find no diet plan in this book―but join Chris as he undertakes a powerful self-experiment that made headlines around the world: under the supervision of colleagues at University College London he spent a month eating a diet of 80 percent UPF, typical for many children and adults in the United States. While his body became the subject of scientific scrutiny, he spoke to the world’s leading experts from academia, agriculture, and―most important―the food industry itself. But more than teaching him about the experience of the food, the diet switched off Chris’s own addiction to UPF.In a fast-paced and eye-opening narrative he explores the origins, science, and economics of UPF to reveal its catastrophic impact on our bodies and the planet. And he proposes real solutions for doctors, for policy makers, and for all of us who have to eat. A book that won’t only upend the way you shop and eat, Ultra-Processed People will open your eyes to the need for action on a global scale.",,"['Nonfiction', 'Health', 'Science', 'Food', 'Audiobook', 'Nutrition', 'Self Help']",4.45,11045,1448,"384 pages, Hardcover","First published April 27, 2023"
Monsters: A Fan's Dilemma,['Claire Dederer'],"From the author of the New York Times best seller Poser and the acclaimed memoir Love and Trouble, a passionate, provocative, blisteringly smart interrogation of how we make and experience art in the age of #MeToo, and of the link between genius and monstrosity.In this unflinching, deeply personal book that expands on her instantly viral Paris Review essay, What Do We Do with the Art of Monstrous Men? Claire Dederer asks: Can we love the work of Hemingway, Polanski, Naipaul, Miles Davis, or Picasso? Should we love it? Does genius deserve special dispensation? Is male monstrosity the same as female monstrosity? Does art have a mandate to depict the darker elements of the psyche? And what happens if the artist stares too long into the abyss? She explores the audience's relationship with artists from Woody Allen to Michael Jackson, asking: How do we balance our undeniable sense of moral outrage with our equally undeniable love of the work? In a more troubling vein, she wonders if an artist needs to be a monster in order to create something great. And if an artist is also a mother, does one identity inexorably, and fatally, interrupt the other? Highly topical, morally wise, honest to the core, Monsters is certain to incite a conversation about whether and how we can separate artists from their art.",,"['Nonfiction', 'Essays', 'Art', 'Audiobook', 'Feminism', 'Memoir', 'Philosophy']",3.84,8168,1473,"257 pages, Hardcover","First published April 25, 2023"
Punished for Dreaming: How School Reform Harms Black Children and How We Heal,['Bettina L. Love'],"“I am an eighties baby who grew to hate school. I never fully understood why. Until now. Until Bettina Love unapologetically and painstakingly chronicled the last forty years of education ‘reform’ in this landmark book. I hated school because it warred on me. I hated school because I loved to dream.”―Ibram X. Kendi, New York Times bestselling author of How to be an AntiracistIn the tradition of Michelle Alexander, an unflinching reckoning with the impact of 40 years of racist public school policy on generations of Black livesIn Punished for Dreaming Dr. Bettina Love argues forcefully that Reagan’s presidency ushered in a War on Black Children, pathologizing and penalizing them in concert with the War on Drugs. New policies punished schools with policing, closure, and loss of funding in the name of reform, as white savior, egalitarian efforts increasingly allowed private interests to infiltrate the system. These changes implicated children of color, and Black children in particular, as low performing, making it all too easy to turn a blind eye to their disproportionate conviction and incarceration. Today, there is little national conversation about a structural overhaul of American schools; cosmetic changes, rooted in anti-Blackness, are now passed off as justice.It is time to put a price tag on the miseducation of Black children. In this prequel to The New Jim Crow , Dr. Love serves up a blistering account of four decades of educational reform through the lens of the people who lived it. Punished for Dreaming lays bare the devastating effect on 25 Black Americans caught in the intersection of economic gain and racist ideology. Then, with input from leading U.S. economists , Dr. Love offers a road map for repair, arguing for reparations with transformation for all children at its core.",,"['Nonfiction', 'Education', 'History', 'Race', 'Politics', 'Social Justice', 'Audiobook']",4.43,539,132,"352 pages, Hardcover","First published September 12, 2023"
Never Finished: Unshackle Your Mind and Win the War Within,['David Goggins'],"This is not a self-help book. It's a wake-up call!Can't Hurt Me, David Goggins' smash hit memoir, demonstrated how much untapped ability we all have but was merely an introduction to the power of the mind. In Never Finished, Goggins takes you inside his Mental Lab, where he developed the philosophy, psychology, and strategies that enabled him to learn that what he thought was his limit was only his beginning and that the quest for greatness is unending. The stories and lessons in this raw, revealing, unflinching memoir offer the reader a blueprint they can use to climb from the bottom of the barrel into a whole new stratosphere that once seemed unattainable. Whether you feel off-course in life, are looking to maximize your potential or drain your soul to break through your so-called glass ceiling, this is the only book you will ever need.",,"['Self Help', 'Nonfiction', 'Biography', 'Personal Development', 'Audiobook', 'Psychology', 'Philosophy']",4.45,25892,1741,"312 pages, Hardcover","First published December 6, 2022"
The Good Life: Lessons from the World's Longest Scientific Study of Happiness,"['Marc Schulz', 'Robert Waldinger']","Alternate cover edition of ISBN 9781982166694.What makes for a happy life, a fulfilling life? A good life? In their “captivating” ( The Wall Street Journal) book, the directors of the Harvard Study of Adult Development, the longest scientific study of happiness ever conducted, show that the answer to these questions may be closer than you realize.What makes a life fulfilling and meaningful? The simple but surprising answer relationships. The stronger our relationships, the more likely we are to live happy, satisfying, and healthier lives. In fact, the Harvard Study of Adult Development reveals that the strength of our connections with others can predict the health of both our bodies and our brains as we go through life.The invaluable insights in this book emerge from the revealing personal stories of hundreds of participants in the Harvard Study as they were followed year after year for their entire adult lives, and this wisdom was bolstered by research findings from many other studies. Relationships in all their forms—friendships, romantic partnerships, families, coworkers, tennis partners, book club members, Bible study groups—all contribute to a happier, healthier life. And as The Good Life shows us, it’s never too late to strengthen the relationships you already have, and never too late to build new ones. The Good Life provides examples of how to do this.Dr. Waldinger’s TED Talk about the Harvard Study, “What Makes a Good Life,” has been viewed more than 42 million times and is one of the ten most-watched TED talks ever. The Good Life has been praised by bestselling authors Jay Shetty “an empowering quest towards our greatest meaningful human connection”), Angela Duckworth (“In a crowded field of life advice...Schulz and Waldinger stand apart”), and happiness expert Laurie Santos (“Waldinger and Schulz are world experts on the counterintuitive things that make life meaningful”).With “insightful [and] interesting” (Daniel Gilbert, New York Times bestselling author of Stumbling on Happiness) life stories, The Good Life shows us how we can make our lives happier and more meaningful through our connections to others.",,"['Nonfiction', 'Psychology', 'Self Help', 'Science', 'Health', 'Philosophy', 'Personal Development']",4.17,6549,757,"352 pages, Hardcover","First published January 10, 2023"
Build the Life You Want: The Art and Science of Getting Happier,"['Arthur C. Brooks', 'Oprah Winfrey']","You can get happier. And getting there will be the adventure of your lifetime.In Build the Life You Want , Arthur C. Brooks and Oprah Winfrey invite you to begin a journey toward greater happiness no matter how challenging your circumstances. Drawing on cutting-edge science and their years of helping people translate ideas into action, they show you how to improve your life right now instead of waiting for the outside world to change.With insight, compassion, and hope, Brooks and Winfrey reveal how the tools of emotional self-management can change your life―immediately. They recommend practical, research-based practices to build the four pillars of family, friendship, work, and faith. And along the way, they share hard-earned wisdom from their own lives and careers as well as the witness of regular people whose lives are joyful despite setbacks and hardship.Equipped with the tools of emotional self-management and ready to build your four pillars, you can take control of your present and future rather than hoping and waiting for your circumstances to improve. Build the Life You Want is your blueprint for a better life.",,"['Nonfiction', 'Self Help', 'Psychology', 'Personal Development', 'Audiobook', 'Science', 'Mental Health']",3.83,5359,531,"272 pages, Hardcover","Published September 12, 2023"
The Woman in Me,['Britney Spears'],"The Woman in Me is a brave and astonishingly moving story about freedom, fame, motherhood, survival, faith, and hope.In June 2021, the whole world was listening as Britney Spears spoke in open court. The impact of sharing her voice—her truth—was undeniable, and it changed the course of her life and the lives of countless others. The Woman in Me reveals for the first time her incredible journey—and the strength at the core of one of the greatest performers in pop music history. Written with remarkable candor and humor, Spears’s groundbreaking book illuminates the enduring power of music and love—and the importance of a woman telling her own story, on her own terms, at last.",,"['Nonfiction', 'Audiobook', 'Memoir', 'Biography', 'Autobiography', 'Music', 'Biography Memoir']",3.95,328687,38129,"277 pages, Hardcover","First published October 24, 2023"
Spare,"['Prince Harry', 'J.R. Moehringer']","It was one of the most searing images of the twentieth century: two young boys, two princes, walking behind their mother’s coffin as the world watched in sorrow—and horror. As Princess Diana was laid to rest, billions wondered what Prince William and Prince Harry must be thinking and feeling—and how their lives would play out from that point on.For Harry, this is that story at last.Before losing his mother, twelve-year-old Prince Harry was known as the carefree one, the happy-go-lucky Spare to the more serious Heir. Grief changed everything. He struggled at school, struggled with anger, with loneliness—and, because he blamed the press for his mother’s death, he struggled to accept life in the spotlight.At twenty-one, he joined the British Army. The discipline gave him structure, and two combat tours made him a hero at home. But he soon felt more lost than ever, suffering from post-traumatic stress and prone to crippling panic attacks. Above all, he couldn’t find true love. Then he met Meghan. The world was swept away by the couple’s cinematic romance and rejoiced in their fairy-tale wedding. But from the beginning, Harry and Meghan were preyed upon by the press, subjected to waves of abuse, racism, and lies. Watching his wife suffer, their safety and mental health at risk, Harry saw no other way to prevent the tragedy of history repeating itself but to flee his mother country. Over the centuries, leaving the Royal Family was an act few had dared. The last to try, in fact, had been his mother. . . .For the first time, Prince Harry tells his own story, chronicling his journey with raw, unflinching honesty. A landmark publication, Spare is full of insight, revelation, self-examination, and hard-won wisdom about the eternal power of love over grief.",,"['Nonfiction', 'Memoir', 'Audiobook', 'Biography', 'Autobiography', 'Biography Memoir', 'Adult']",3.87,339670,38020,"410 pages, Hardcover","First published January 10, 2023"
Pageboy: A Memoir,['Elliot Page'],"Pageboy is a groundbreaking coming-of-age memoir from the Academy Award-nominated actor Elliot Page. A generation-defining actor and one of the most famous trans advocates of our time, Elliot will now be known as an uncommon literary talent, as he shares never-before-heard details and intimate interrogations on gender, love, mental health, relationships, and Hollywood.",,"['Nonfiction', 'Memoir', 'LGBT', 'Audiobook', 'Queer', 'Biography', 'Biography Memoir']",3.77,48987,7543,"288 pages, Hardcover","First published June 6, 2023"
You Could Make This Place Beautiful,['Maggie  Smith'],"In her memoir You Could Make This Place Beautiful, poet Maggie Smith explores the disintegration of her marriage and her renewed commitment to herself in lyrical vignettes that shine, hard and clear as jewels. The book begins with one woman’s personal, particular heartbreak, but its circles widen into a reckoning with contemporary womanhood, traditional gender roles, and the power dynamics that persist even in many progressive homes. With the spirit of self-inquiry and empathy she’s known for, Smith interweaves snapshots of a life with meditations on secrets, anger, forgiveness, and narrative itself. The power of these pieces is cumulative: page after page, they build into a larger interrogation of family, work, and patriarchy.You Could Make This Place Beautiful, like the work of Deborah Levy, Rachel Cusk, and Gina Frangello, is an unflinching look at what it means to live and write our own lives. It is a story about a mother’s fierce and constant love for her children, and a woman’s love and regard for herself. Above all, this memoir is an argument for possibility. With a poet’s attention to language and an innovative approach to the genre, Smith reveals how, in the aftermath of loss, we can discover our power and make something new. Something beautiful.",,"['Memoir', 'Nonfiction', 'Poetry', 'Audiobook', 'Biography Memoir', 'Biography', 'Essays']",4.14,20584,2945,"320 pages, Hardcover","First published April 11, 2023"
Counting the Cost,"['Craig Borlase', 'Derick Dillard', 'Jill Duggar']","INSTANT NEW YORK TIMES BESTSELLERFor the first time, discover the unedited truth about the Duggars, the traditional Christian family that captivated the nation on TLC’s hit show 19 Kids and Counting . Jill Duggar and her husband Derick are finally ready to share their story, revealing the secrets, manipulation, and intimidation behind the show that remained hidden from their fans.Jill and Derick knew a normal life wasn’t possible for them. As a star on the popular TLC reality show 19 Kids and Counting , Jill grew up in front of viewers who were fascinated by her family’s way of life. She was the responsible, second daughter of Jim Bob and Michelle’s nineteen kids; always with a baby on her hip and happy to wear the modest ankle-length dresses with throat-high necklines. She didn’t protest the strict model of patriarchy that her family followed, which declares that men are superior, that women are expected to be wives and mothers and are discouraged from attaining a higher education, and that parental authority over their children continues well into adulthood, even once they are married.But as Jill got older, married Derick, and they embarked on their own lives, the red flags became too obvious to ignore.For as long as they could, Jill and Derick tried to be obedient family members—they weren’t willing to rock the boat. But now they’re raising a family of their own, and they’re done with the secrets. Thanks to time, tears, therapy, and blessings from God, they have the strength to share their journey. Theirs is a remarkable story of the power of the truth and is a moving example of how to find healing through honesty.",,"['Nonfiction', 'Memoir', 'Audiobook', 'Biography', 'Religion', 'Biography Memoir', 'Christian']",4.19,68909,6774,"288 pages, Hardcover","First published September 12, 2023"
All My Knotted-Up Life: A Memoir,['Beth Moore'],"New York Times, Publishers Weekly, and Wall Street Journal bestseller!An incredibly thoughtful, disarmingly funny, and intensely vulnerable glimpse into the life and ministry of a woman familiar to many but known by few.“It’s a peculiar thing, this having lived long enough to take a good look back. We go from knowing each other better than we know ourselves to barely sure if we know each other at all, to precisely sure that we don’t. All my knotted-up life I’ve longed for the sanity and simplicity of knowing who’s good and who’s bad. I’ve wanted to know this about myself as much as anyone. This was not theological. It was strictly relational. God could do what he wanted with eternity. I was just trying to make it here in the meantime. As benevolent as he has been in a myriad of ways, God has remained aloof on this uncomplicated request .” – Beth MooreNew York Times best-selling author, speaker, visionary, and founder of Living Proof Ministries Beth Moore has devoted her whole life to helping women across the globe come to know the transforming power of Jesus. An established writer of many acclaimed books and Bible studies for women on spiritual growth and personal development, Beth now unveils her own story in a much-anticipated debut memoir.All My Knotted-Up Life All My Knotted-Up Life is told with surprising candor about some of the personal heartbreaks and behind-the-scenes challenges that have marked Beth’s life. But beyond that, it’s a beautifully crafted portrait of resilience and survival, a poignant reminder of God’s enduring faithfulness, and proof positive that if we ever truly took the time to hear people’s full stories . . . we’d all walk around slack-jawed.",,"['Memoir', 'Nonfiction', 'Audiobook', 'Christian', 'Biography', 'Faith', 'Biography Memoir']",4.49,31968,4406,"293 pages, Hardcover","First published February 21, 2023"
Paris: The Memoir,['Paris Hilton'],"A MILLION MEANINGS IN A SINGLE NAME...Heiress. Party girl. Problem child. Selfie taker. Model. Cover girl. Reality star. These are labels that have been attached to Paris Hilton by others. Founder. Entrepreneur. Pop Culture Maker. Innovator. Survivor. Activist. Daughter. Sister. Wife. Mom.These are roles Paris Hilton embraces now as a fully realized woman.Paris rose to prominence as an heiress to the Hilton Hotels empire, but cultivated her fame and fortune as the It Girl of the aughts, a time marked by the burgeoning twenty-four-hour entertainment news cycle and the advent of the celebrity blog. Using her celebrity brand, Paris set in motion her innovative business ventures, while being the constant target of tabloid culture that dismissively wrote her off as ""famous for being famous."" With tenacity, sharp business acumen, and grit, she built a global empire and, in the process, became a truly modern icon beloved around the world.Now, with courage, honesty, and humor, Paris Hilton is ready to take stock, place it all in context, and share her story with the world. Separating the creation from the creator, the brand from the ambassador, Paris: The Memoir strips away all we thought we knew about a celebrity icon, taking us back to a privileged childhood lived through the lens of undiagnosed ADHD and teenage rebellion that triggered a panicked--and perilous--decision by her parents. Led to believe they were saving their child's life, Paris's mother and father had her kidnapped and sent to a series of ""emotional growth boarding schools,"" where she survived almost two years of verbal, physical, and sexual abuse. In the midst of a hell we now call the ""troubled teen industry,"" Paris created a beautiful inner world where the ugliness couldn't touch her. She came out, resolving to trust no one but herself as she transformed that fantasy world into a multibillion-dollar reality.Recounting her perilous journey through pre-#MeToo sexual politics with grace, dignity, and just the right amount of sass, Paris: The Memoir tracks the evolution of celebrity culture through the story of the figure at its leading edge, full of defining moments and marquee names. Most important, Paris shows us her path to peace while she challenges us to question our role in her story and in our own. Welcome to Paris.",,"['Nonfiction', 'Memoir', 'Audiobook', 'Biography', 'Autobiography', 'Biography Memoir', 'Mental Health']",4.23,45280,5829,"336 pages, Hardcover","First published March 14, 2023"
"Love, Pamela",['Pamela Anderson'],"To live and dream is a wicked dance.My dreams often come true -- a curse, and a blessing.Pamela Anderson's blond bombshell image was ubiquitous in the 1990s. Discovered in the stands during a Canadian football game, she was quickly launched into superstardom, becoming Playboy's favorite cover girl and an emblem of Hollywood glamour and sex appeal. Yet the Pamela Anderson we think we know was created through happenstance rather than careful cultivation. Love, Pamela brings forth her true story: that of a small-town girl getting tangled up in her own dream.Growing up on Vancouver Island, the daughter of young, wild, and unwittingly stylish parents, Pamela lived a hardscrabble childhood but developed a deep love for nature, populating her world with misfits, apparitional friends, and injured animals. Eventually overcoming her natural shyness, Pamela's restless imagination propelled her into a life few can dream of, from the beaches of Malibu to the coveted scene at the Playboy Mansion. As her star rose, she found herself a fixture of tabloid fodder, at the height of an era when paparazzi tactics were bent on destroying a person's image and self-esteem.Pamela forged ahead with grace, finding sanctuary in her love of art and literature, and emerged a devoted mother and activist. Now, having returned to the island of her childhood, after a memorable run starring as Roxie in Chicago on Broadway, Pamela is telling her story, a story of an irrepressible free spirit coming home and discovering herself anew at every turn. With vivid prose interspersed with bursts of original poetry, Love, Pamela is a pensive, layered, and unforgettable memoir.",,"['Nonfiction', 'Audiobook', 'Memoir', 'Biography', 'Autobiography', 'Biography Memoir', 'Poetry']",3.79,26747,3133,"256 pages, Hardcover","First published January 31, 2023"
Hijab Butch Blues,['Lamya H.'],"A queer hijabi Muslim immigrant survives her coming-of-age by drawing strength and hope from stories in the Quran in this daring, provocative, and radically hopeful memoir.When fourteen-year-old Lamya H realizes she has a crush on her teacher--her female teacher--she covers up her attraction, an attraction she can't yet name, by playing up her roles as overachiever and class clown. Born in South Asia, she moved to the Middle East at a young age and has spent years feeling out of place, like her own desires and dreams don't matter, and it's easier to hide in plain sight. To disappear. But one day in Quran class, she reads a passage about Maryam that changes everything: when Maryam learned that she was pregnant, she insisted no man had touched her. Could Maryam, uninterested in men, be . . . like Lamya?From that moment on, Lamya makes sense of her struggles and triumphs by comparing her experiences with some of the most famous stories in the Quran. She juxtaposes her coming out with Musa liberating his people from the pharoah; asks if Allah, who is neither male nor female, might instead be nonbinary; and, drawing on the faith and hope Nuh needed to construct his ark, begins to build a life of her own--ultimately finding that the answer to her lifelong quest for community and belonging lies in owning her identity as a queer, devout Muslim immigrant.This searingly intimate memoir in essays, spanning Lamya's childhood to her arrival in the United States for college through early-adult life in New York City, tells a universal story of courage, trust, and love, celebrating what it means to be a seeker and an architect of one's own life.",,"['Memoir', 'Nonfiction', 'Queer', 'LGBT', 'Religion', 'Feminism', 'Audiobook']",4.48,7162,1341,"304 pages, Hardcover","First published February 7, 2023"
The In-Between: Unforgettable Encounters During Life's Final Moments,['Hadley Vlahos'],"Passionate advocate for end-of-life care and TikTok star Hadley Vlahos shares moving stories of joy, wisdom, and redemption from her patients’ final moments in this “brilliant” (Zibby Owens, Good Morning America ) memoir. Talking about death and dying is considered taboo in polite company, and even in the medical field. Our ideas about dying are confusing at Will our memories flash before our eyes? Regrets consume our thoughts? Does a bright light appear at the end of a tunnel? For most people, it will be a slower process, one eased with preparedness, good humor, and a bit of faith. At the forefront of changing attitudes around palliative care is hospice nurse Hadley Vlahos, who shows that end-of-life care can teach us just as much about how to live as it does about how we die. Vlahos was raised in a strict religious household, but began questioning her beliefs in high school after the sudden death of a friend. When she got pregnant at nineteen, she was shunned by her community and enrolled herself in nursing school to be able to support herself and her baby. But nursing soon became more than that when she focused on palliative care and hospice work, it became a calling.  In The In-Between, Vlahos recounts the most impactful experiences she’s had with the people she’s worked with—from the woman who never once questioned her faith until she was close to death, to the older man seeing visions of his late daughter, to the young patient who laments that she spent too much of her short life worrying about what others thought of her—while also sharing her own fascinating journey. Written with profound insight, humility, and respect, The In-Between is a heartrending memoir that shows how caring for others can transform a life while also offering wisdom and comfort for those dealing with loss and providing inspiration for how to live now.",,"['Nonfiction', 'Memoir', 'Audiobook', 'Death', 'Medical', 'Science', 'Health']",4.55,20186,2645,"288 pages, Hardcover","First published June 13, 2023"
Thicker than Water: A Memoir,['Kerry Washington'],"Award-winning actor, director, producer, and activist Kerry Washington shares the ""exquisitely moving” journey of her life so far (Isabel Wilkerson), and the bravely intimate story of discovering her truth.While on a drive in Los Angeles, on a seemingly average afternoon, Kerry Washington received a text message that would send her on a life-changing journey of self-discovery. In an instant, her very identity was torn apart, with everything she thought she knew about herself thrown into question. In Thicker than Water, Washington gives readers an intimate view into both her public and private worlds—as a mother, daughter, wife, artist, advocate, and trailblazer. Chronicling her upbringing and life’s journey thus far, she reveals how she faced a series of challenges and setbacks, effectively hid childhood traumas, met extraordinary mentors, managed to grow her career, and crossed the threshold into stardom and political advocacy, ultimately discovering her truest self and, with it, a deeper sense of belonging. Throughout this profoundly moving and beautifully written memoir, Washington attempts to answer the questions so many have struggled Who am I? What is my truest and most authentic self? How do I find a deeper sense of connection and belonging? With grace and honesty, she inspires readers to search for—and find—themselves.",,"['Memoir', 'Audiobook', 'Nonfiction', 'Biography', 'Biography Memoir', 'Autobiography', 'Adult']",3.9,10991,1130,"320 pages, Hardcover","First published September 26, 2023"
